Category,Hour,Count
PROSTITUTION,0,39
PROSTITUTION,1,13
PROSTITUTION,2,7
PROSTITUTION,3,7
PROSTITUTION,4,2
PROSTITUTION,5,1
PROSTITUTION,6,1
PROSTITUTION,9,3
PROSTITUTION,10,2
PROSTITUTION,11,7
PROSTITUTION,12,22
PROSTITUTION,13,13
PROSTITUTION,14,31
PROSTITUTION,15,17
PROSTITUTION,16,10
PROSTITUTION,17,34
PROSTITUTION,18,22
PROSTITUTION,19,21
PROSTITUTION,20,41
PROSTITUTION,21,23
PROSTITUTION,22,21
PROSTITUTION,23,37
VEHICLE THEFT,0,265
VEHICLE THEFT,1,186
VEHICLE THEFT,2,148
VEHICLE THEFT,3,101
VEHICLE THEFT,4,78
VEHICLE THEFT,5,96
VEHICLE THEFT,6,127
VEHICLE THEFT,7,204
VEHICLE THEFT,8,269
VEHICLE THEFT,9,268
VEHICLE THEFT,10,252
VEHICLE THEFT,11,232
VEHICLE THEFT,12,333
VEHICLE THEFT,13,245
VEHICLE THEFT,14,285
VEHICLE THEFT,15,354
VEHICLE THEFT,16,414
VEHICLE THEFT,17,557
VEHICLE THEFT,18,660
VEHICLE THEFT,19,573
VEHICLE THEFT,20,638
VEHICLE THEFT,21,564
VEHICLE THEFT,22,606
VEHICLE THEFT,23,491
